name_category,img_category,url_category,title
Chocolate stick,c615cd4091b53a48bc4faa7582d9c3d8.jpg,https://en.sas.am/categories/Chocolate_stick__1187/,False
Cream,fe7f4eabb506006052b9ee146dfa5519.jpg,https://en.sas.am/categories/Cream_2826/,False
Chewing gum, candies,aaee3c74c98021ae144c3b71f45708e9.jpg,https://en.sas.am/categories/Chewing_gum_candies__2818/,True
Chewing gum,2d8e837fd5b9fe1f859cb9bba6632ad1.jpg,https://en.sas.am/categories/Chewing_gum_2828/,False
Packed candies,36afd60720558a66325215c98ee50e22.jpg,https://en.sas.am/categories/Packed_candies__2829/,False
Candies sold by weight,d21ec914c2f28f905b431f8ffa2f0cfb.jpg,https://en.sas.am/categories/Candies_sold_by_weight__3755/,False
Juice and Beverages  ,1ef108e003ba4385ac904558d9056361.png,https://en.sas.am/categories/Juice_and_Beverages__1050/,True
Beverages,9b6f466a46b0eadb918979fb57a06841.jpg,https://en.sas.am/categories/Beverages__2857/,True
Natural juice,8266974f7238162a6d2a5f7901252d11.jpg,https://en.sas.am/categories/Natural_juice_1221/,False
Compote, syrup,36ae4b7415f6063b3ba99687f46785bf.jpg,https://en.sas.am/categories/Compote_syrup__2858/,False
Refreshing drinks,6a05c9f5bff51ef57dde395f2bcc4096.jpg,https://en.sas.am/categories/Refreshing_drinks__2859/,False
Water,f998c1b90e0443de76c5b38fb940d3de.jpg,https://en.sas.am/categories/Water_3028/,False
Other,2bbc4ddaf64fcb7655d586dded544547.jpg,https://en.sas.am/categories/Other_2860/,False
Cocoa, kissel,b6875d9cd4f440d761e7bfad0677eb59.jpg,https://en.sas.am/categories/Cocoa_kissel_1212/,True
Hot chocolate, cappuccino,cfcae3255e908a8b7c411756d65f4481.jpg,https://en.sas.am/categories/Hot_chocolate_cappuccino__2856/,True
Low-alcohol beverages,afaa2ad57ddb34bae143f75faba99343.jpg,https://en.sas.am/categories/Low_alcohol_beverages_1051/,True
Cocktails, energy drinks,dc74bd2cfb9d87a58e784842f5b50061.jpg,https://en.sas.am/categories/Cocktails_energy_drinks__1232/,False
Other,8bdca33f242d044f9d6b6f9bf188af19.jpg,https://en.sas.am/categories/Other_3078/,False
Coffee and tea,d85f475444b295a17503d925149df185.png,https://en.sas.am/categories/Coffee_and_tea_2846/,True
Coffee,e914fb5418c5aa9be2fb8d280da603cb.jpg,https://en.sas.am/categories/Coffee_7475/,True
Sold by weight,72c187e2449ca83882721a5f09808b89.jpg,https://en.sas.am/categories/Sold_by_weight_2852/,False
Packed,f740a9f68b95400e2c5f8e7286b64ddf.jpg,https://en.sas.am/categories/Packed__2854/,False
Instant coffee,4f19134376fbc681dc2244f7282607f7.jpg,https://en.sas.am/categories/Instant_coffee__2855/,False
Ice coffee,ed8c2fa8b98003a8a9c672ebb0d5eaf9.jpg,https://en.sas.am/categories/Ice_coffee__3770/,False
Other,f0187f908ea5f639fd48ef9773511843.jpg,https://en.sas.am/categories/Other__3065/,False
Tea,35693fe7e61cd0e2bbd3910eebf76382.jpg,https://en.sas.am/categories/Tea_2845/,True
Teabags,ce260505fc0abbfc17fb106305b1d124.jpg,https://en.sas.am/categories/Teabags__2847/,False
Instant tea,43632332d9cb2a96725f34d66518fde2.jpg,https://en.sas.am/categories/Instant_tea__2848/,False
Leaf tea,bc09e208babb6262bd610005256de65d.jpg,https://en.sas.am/categories/Leaf_tea_2849/,False
Ice tea,1ac5d44db259f59b787f90aeb8dd3ff8.jpg,https://en.sas.am/categories/Ice_tea__5220/,False
Alcoholic beverages,6c7eaf5f18b375bc6497846718706919.png,https://en.sas.am/categories/Alcoholic_beverages_1052/,True
Wine,64f028e4a490ff08941bfc532ad6ec9a.jpg,https://en.sas.am/categories/Wine_1236/,True
Armenian,9936f2699281c071f87cde26a6f6c76f.jpg,https://en.sas.am/categories/Armenian_2865/,False
Imported,8a9760f36dc5bf3cbbe9aa86a251410f.jpg,https://en.sas.am/categories/Imported_2866/,False
Vermouth,7fbc6c3c7e4a95c0f1911c868fa1c3f8.jpg,https://en.sas.am/categories/Vermouth__2870/,True
Champaign, sparkling wine,dd6c6b3796141ec6d8cef227de267fa0.jpg,https://en.sas.am/categories/Champaign_sparkling_wine_2871/,True
Cognac, brandy,5e826d17a883c59072addf2c450a0de9.jpg,https://en.sas.am/categories/Cognac_brandy_1239/,True
Armenian,d0eea2ae693ff4b74735cc3da87bde1c.jpg,https://en.sas.am/categories/Armenian_1246/,False
Imported,490876b6cc22a425c5e993c40c255fb3.jpg,https://en.sas.am/categories/Imported_1247/,False
Whiskey,260e004f44a38b591b8b45e6762c2c2c.jpg,https://en.sas.am/categories/Whiskey__1248/,True
Vodka,41f9c0a112fe34a4ebeb6a0317357b89.jpg,https://en.sas.am/categories/Vodka_1237/,True
Armenian,9ee73ba0f4550c31a3d49f75872f6e9f.jpg,https://en.sas.am/categories/Armenian_4104/,False
Imported,3558c6043e7444f6e4aaa6f996e992e3.jpg,https://en.sas.am/categories/Imported_4105/,False
Beer,e664657e3fc58c2f66ac73fd3c79a683.jpg,https://en.sas.am/categories/Beer_1231/,True
Armenian,519be4ab13ade9d8471ac7662eecc18e.jpg,https://en.sas.am/categories/Armenian_1233/,False
Imported,599c4faf5ad252f72c50f5fa25db0f84.jpg,https://en.sas.am/categories/Imported_1235/,False
Beer snacks,37816cd587f40063e84ad889844b450a.jpg,https://en.sas.am/categories/Beer_snacks__3079/,False
Rum, tequila,c7a71bb9472d37b705974d3de68d39d4.jpg,https://en.sas.am/categories/Rum_tequila__1250/,True
Gin, absinth,05d130e8bf229c6e3404daca4edbc79d.jpg,https://en.sas.am/categories/Gin_absinth_1251/,True
Liqueur,8380a36625bc4120e3926df218d33cc8.jpg,https://en.sas.am/categories/Liqueur__1241/,True
Other,b92dd891f3eb1087d90ff418db000937.jpg,https://en.sas.am/categories/Other_2872/,True
Tobacco Products ,1f32a176192064ab1364fd179034458e.png,https://en.sas.am/categories/Tobacco_Products__1242/,True
Smoke free products and accessories,15ee9723bd9b8b924e570354c978cce2.jpg,https://en.sas.am/categories/Smoke_free_products_and_accessories_7165/,True
Cigar, cigarillo, tobacco,04a1af69e3e104077ab8baf990cbb719.jpg,https://en.sas.am/categories/Cigar_cigarillo_tobacco_1255/,True
Cigarettes,180879ffbc731e95cf38cc216c6f641a.jpg,https://en.sas.am/categories/Cigarettes__2873/,True
Armenian,7bb0db1b32a4a6038a0bf02e571c1fc5.jpg,https://en.sas.am/categories/Armenian__2874/,False
Imported,dcfbdf47c847e31489d711011fc27dc6.jpg,https://en.sas.am/categories/Imported_2875/,False
Meat Products ,83d9286b36c656116ee1c33f53fe47aa.png,https://en.sas.am/categories/Meat_Products__2877/,True
Fresh meat,f00ee844935d32c1c790ee967b6c82fe.jpg,https://en.sas.am/categories/Fresh_meat_3024/,True
,458128315b2a49c69c17408cb29b985c.jpg,https://en.sas.am/categories/Beef_2878/,False
,be4c6ea41bd2166d62af4c6fe24cad7d.jpg,https://en.sas.am/categories/Pork__2879/,False
,437f4fa9a9c85ce847f83c45167219f0.jpg,https://en.sas.am/categories/Lamb__2880/,False
,08f79ccbc808c6726077b0c89026a608.jpg,https://en.sas.am/categories/Boiled_meat_products__2887/,True
,8c2b432d88de61fd0b5a634a2ff62c60.jpg,https://en.sas.am/categories/Boiled_sausage__1282/,False
,8688a43fffffaa65779b176d0bd4cd73.jpg,https://en.sas.am/categories/Ham__1284/,False
,26a72caf15249774937bea13a04237e6.jpg,https://en.sas.am/categories/Sausages_small_sausages_1286/,False
,8ef3c7b563753ac5829fcdda9bb86430.jpg,https://en.sas.am/categories/Smoked_meat_products__2888/,True
,6c7b36507166872eeba5338c08ac0609.jpg,https://en.sas.am/categories/Boiled_and_smoked_semi_smoked_sausage__3020/,False
,bd9250730d3d30246846f17af9e213f1.jpg,https://en.sas.am/categories/Dry_sausage__3021/,False
