name_category,img_category,url_category
Տորթ, ռուլետ,77cb5576aa06814dd04920b789baa2e7.jpg,https://www.sas.am/categories/%D5%8F%D5%B8%D6%80%D5%A9_%D5%BC%D5%B8%D6%82%D5%AC%D5%A5%D5%BF_2813/
Վաֆլիներ,2a528b3721bafb6b6377ed97ea7c6df3.jpg,https://www.sas.am/categories/%D5%8E%D5%A1%D6%86%D5%AC%D5%AB%D5%B6%D5%A5%D6%80_2815/
Արևելյան քաղցրավենիք,e32923de21ff7eb2ad813acd3f227fb1.jpg,https://www.sas.am/categories/%D4%B1%D6%80%D6%87%D5%A5%D5%AC%D5%B5%D5%A1%D5%B6_%D6%84%D5%A1%D5%B2%D6%81%D6%80%D5%A1%D5%BE%D5%A5%D5%B6%D5%AB%D6%84_1193/
Կեքս, կրուասան,ac726433624e95184158712bf6f52a8e.jpg,https://www.sas.am/categories/%D4%BF%D5%A5%D6%84%D5%BD_%D5%AF%D6%80%D5%B8%D6%82%D5%A1%D5%BD%D5%A1%D5%B6_2824/
Աղանդեր, բիսկվիթ,10bcf07993c8fc7acf038c487a7f9cbf.jpg,https://www.sas.am/categories/%D4%B1%D5%B2%D5%A1%D5%B6%D5%A4%D5%A5%D6%80_%D5%A2%D5%AB%D5%BD%D5%AF%D5%BE%D5%AB%D5%A9_3029/
Թխվածքաբլիթ, քաղցրաբլիթ,1bf8d9fa53c256a56cbcdbfebbf09dc6.jpg,https://www.sas.am/categories/%D4%B9%D5%AD%D5%BE%D5%A1%D5%AE%D6%84%D5%A1%D5%A2%D5%AC%D5%AB%D5%A9_%D6%84%D5%A1%D5%B2%D6%81%D6%80%D5%A1%D5%A2%D5%AC%D5%AB%D5%A9_2814/
Կրեկերներ, ձողիկներ,9f7dc6313aae353d56002f751ed811d1.jpg,https://www.sas.am/categories/%D4%BF%D6%80%D5%A5%D5%AF%D5%A5%D6%80%D5%B6%D5%A5%D6%80_%D5%B1%D5%B8%D5%B2%D5%AB%D5%AF%D5%B6%D5%A5%D6%80_3030/
Այլ,9abc66809a67e661c21aba18994d634e.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_2817/
Չիպսեր, սերմեր, փաթիլներ,8a4f7f73d40e2e0329ccc4b2884058f6.jpg,https://www.sas.am/categories/%D5%89%D5%AB%D5%BA%D5%BD%D5%A5%D6%80_%D5%BD%D5%A5%D6%80%D5%B4%D5%A5%D6%80_%D6%83%D5%A1%D5%A9%D5%AB%D5%AC%D5%B6%D5%A5%D6%80_1178/
Չիպս,93c58da4f0c25660114dd64174ba85ed.jpg,https://www.sas.am/categories/%D5%89%D5%AB%D5%BA%D5%BD_1208/
Արևածաղկի սերմեր,651f62d76fda52f852d2b6dad3590cc9.jpg,https://www.sas.am/categories/%D4%B1%D6%80%D6%87%D5%A1%D5%AE%D5%A1%D5%B2%D5%AF%D5%AB_%D5%BD%D5%A5%D6%80%D5%B4%D5%A5%D6%80_1209/
